actual_rating,predicted_rating,residual
6.15,6.0229073,0.12709274291992223
5.99,5.8788066,0.11119340896606467
7.79,7.5026083,0.28739170074462894
6.64,6.603108,0.03689207077026335
6.85,7.047742,-0.19774188995361364
6.02,6.3368115,-0.31681154251098675
7.01,7.2115855,-0.20158552169799826
7.24,6.838024,0.40197586059570334
4.49,5.7229953,-1.2329952812194822
5.53,5.51743,0.01257017135620142
5.76,6.3611813,-0.6011812591552737
5.68,5.7435718,-0.06357175827026396
6.05,7.082482,-1.0324818611145021
6.43,6.5940986,-0.16409856796264677
5.63,5.296181,0.33381879806518544
4.9,5.197198,-0.2971979141235348
6.54,7.264016,-0.7240161514282226
7.4,7.2912755,0.10872449874877965
6.22,5.9661174,0.2538826179504392
5.16,5.857518,-0.6975181961059569
4.19,5.1700425,-0.980042514801025
6.91,6.848247,0.06175294876098647
6.03,5.4380493,0.5919506835937502
6.6,6.4939795,0.1060205459594723
7.07,6.5038133,0.5661867332458499
5.97,6.1795454,-0.20954540252685572
6.74,6.676401,0.06359886169433615
7.91,7.2434363,0.6665636634826662
6.86,7.144784,-0.28478397369384734
7.47,7.3242106,0.1457893562316892
6.29,6.8982058,-0.6082057571411132
6.73,6.5957685,0.1342315483093266
5.84,5.57984,0.2601598167419432
5.09,5.902363,-0.8123628234863283
7.43,6.859838,0.5701619911193845
5.17,4.7503104,0.4196895790100097
5.06,5.2774043,-0.2174043083190922
7.54,7.3486867,0.19131330490112308
5.05,5.2835364,-0.23353643417358416
5.28,5.3537674,-0.073767395019531
6.25,6.714717,-0.46471691131591797
5.78,6.482317,-0.7023169708251951
5.05,5.083345,-0.03334493637084979
4.6,5.460554,-0.860554122924805
7.57,6.7535377,0.8164623451232913
8.02,7.817179,0.2028207969665523
6.85,7.136402,-0.2864021301269535
6.3,6.134177,0.16582279205322248
4.93,4.4198165,0.5101835060119626
7.96,7.657047,0.30295320510864254
6.92,6.519417,0.4005831909179687
7.33,7.404958,-0.07495777130126946
8.0,7.781864,0.21813583374023438
